StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,REF,STRUCTURE_1,STRUCTURE_2,STRUCTURE_3,STRUCTURE_4,DIVERSITY_1,NATIVENESS_1,EXPERTID,CONNECTIVITY_ahead _1,CONNECTIVITY_ahead _2,CONNECTIVITY_ahead _3,CONNECTIVITY_ahead _4,CONNECTIVITY_within_1,SPECIES TALLY_1,SPECIES TALLY_4
2024-12-09 06:30:45,2024-12-09 06:32:16,IP Address,49.245.4.205,100,91,TRUE,2024-12-09 06:32:17,R_40icOr7He8duJZ7,,,,,1.3296,103.8799,anonymous,EN,5a,31,9,8,1,17,2,No,0,1,0,0,1,,
2024-12-09 06:32:19,2024-12-09 06:33:35,IP Address,49.245.4.205,100,75,TRUE,2024-12-09 06:33:36,R_4saC5hfuINtzqNE,,,,,1.3296,103.8799,anonymous,EN,5b,17,1,,1,3,1,No,0,2,,1,4,,
2024-12-09 06:33:36,2024-12-09 06:34:56,IP Address,49.245.4.205,100,80,TRUE,2024-12-09 06:34:57,R_4oGJxK4LLkbl7Ut,,,,,1.3296,103.8799,anonymous,EN,6a,14,4,30,3,11,2,No,0,0,1,2,1,,
2024-12-09 06:34:58,2024-12-09 06:39:34,IP Address,49.245.4.205,100,275,TRUE,2024-12-09 06:39:34,R_4axcnwvCj7u7wiJ,,,,,1.3296,103.8799,anonymous,EN,6b,5,1,,1,5,2,No,0,,6,1,5,,
2024-12-09 06:48:59,2024-12-09 06:50:17,IP Address,49.245.4.205,100,77,TRUE,2024-12-09 06:50:18,R_4RkGj5vMgAPZONz,,,,,1.3296,103.8799,anonymous,EN,7a,30,10,8,1,20,4,No,0,0,0,1,1,,
2024-12-09 06:50:23,2024-12-09 06:51:18,IP Address,49.245.4.205,100,55,TRUE,2024-12-09 06:51:19,R_4qI2JFF4D7Cc2Df,,,,,1.3296,103.8799,anonymous,EN,7b,14,1,1,2,8,4,No,0,,,1,4,,
2024-12-09 06:51:26,2024-12-09 06:52:44,IP Address,49.245.4.205,100,78,TRUE,2024-12-09 06:52:45,R_4fkCMxDYqMivZsC,,,,,1.3296,103.8799,anonymous,EN,8a,30,8,7,1,26,7,No,0,0,0,5,1,,
2024-12-09 06:52:46,2024-12-09 06:53:52,IP Address,49.245.4.205,100,66,TRUE,2024-12-09 06:53:53,R_4igo9uRdf8EFNXb,,,,,1.3296,103.8799,anonymous,EN,8b,13,0,0,1,3,1,No,3,4,4,4,5,,
2024-12-09 06:53:54,2024-12-09 06:55:13,IP Address,49.245.4.205,100,78,TRUE,2024-12-09 06:55:14,R_4N3FL634LLyR1G9,,,,,1.3296,103.8799,anonymous,EN,9a,28,8,13,1,23,5,No,0,0,0,0,,,
2024-12-09 06:55:15,2024-12-09 06:56:08,IP Address,49.245.4.205,100,52,TRUE,2024-12-09 06:56:09,R_4ngjqqOteKl55JL,,,,,1.3296,103.8799,anonymous,EN,9b,22,1,1,1,7,1,No,0,0,11,3,3,,
2024-12-09 06:56:10,2024-12-09 06:57:29,IP Address,49.245.4.205,100,79,TRUE,2024-12-09 06:57:30,R_49XSFaSTlblop57,,,,,1.3296,103.8799,anonymous,EN,10a,32,5,12,1,10,2,No,0,0,0,2,,,
2024-12-09 06:57:31,2024-12-09 06:58:26,IP Address,49.245.4.205,100,55,TRUE,2024-12-09 06:58:26,R_4EseorLUly7CwfL,,,,,1.3296,103.8799,anonymous,EN,10b,26,1,1,1,5,2,,0,1,0,19,,,
2024-12-09 06:58:32,2024-12-09 07:00:07,IP Address,49.245.4.205,100,94,TRUE,2024-12-09 07:00:07,R_4dEIOamb0DBGXM3,,,,,1.3296,103.8799,anonymous,EN,11a,16,6,16,1,21,2,No,0,1,9,15,1,,
2024-12-09 07:00:09,2024-12-09 07:03:36,IP Address,49.245.4.205,100,207,TRUE,2024-12-09 07:03:36,R_4IgSJlp1WVUFHbz,,,,,1.3296,103.8799,anonymous,EN,11b,6,1,13,1,6,1,No,5,7,7,7,5,88,15
